date	power	latitude	longitude
12.6.24 1:20	2.1	37.53 N	124.56 E
12.6.23 16:42	2.6	36.7 N	128.31 E
12.6.19 20:55	3.1	33.48 N	125.93 E
12.6.14 6:15	2.1	39.68 N	126.81 E
12.6.12 17:52	2.2	35.87 N	128.67 E
12.6.12 13:34	2.4	37.33 N	125.27 E
12.6.12 9:01	2.1	38.77 N	125.72 E
12.6.12 3:42	2.1	36.32 N	127.51 E
12.6.5 8:18	2.1	38.43 N	126.16 E
12.6.1 12:05	2.6	37.12 N	125.96 E
12.6.1 8:09	2.3	35.92 N	127.61 E
12.5.30 2:48	3.4	36.57 N	129.57 E
12.5.16 17:50	2.7	36.23 N	128.49 E
12.5.15 11:05	2.9	35.92 N	129.62 E
12.5.11 12:46	3.9	36.02 N	127.71 E
12.5.2 5:04	2	35.76 N	126.81 E
12.5.2 1:33	3.4	33.69 N	126.04 E
12.4.20 21:11	3.1	33.43 N	127.26 E
12.4.17 13:31	2.6	35.72 N	126.51 E
12.3.30 14:51	2.2	36.49 N	127.91 E
12.3.29 0:26	2.2	35.34 N	125.95 E
12.3.18 9:20	2.8	36.53 N	130.58 E
12.2.27 0:26	2.5	35.15 N	129.85 E
12.2.24 9:05	3.2	35.2 N	129.93 E
12.2.24 0:54	2.4	35.13 N	129.85 E
12.2.21 22:30	2.5	35.13 N	129.8 E
12.2.19 20:21	2.7	35.13 N	129.89 E
12.1.24 2:41	2.2	37.12 N	125.96 E
12.1.19 15:43	2.7	38.51 N	126.23 E
11.12.27 21:57	3.3	36.86 N	129.94 E
11.12.25 0:01	2.3	37.12 N	128.99 E
11.12.14 15:39	2	37.97 N	125.82 E
11.11.30 0:37	2.5	35.98 N	126.53 E
11.11.26 4:03	2.2	34.23 N	127.67 E
11.11.2 7:20	3	35.54 N	130.65 E
11.10.7 19:04	2.7	33.34 N	127.19 E
11.9.28 13:20	2.6	38.48 N	126.26 E
11.9.26 22:12	3.3	34.58 N	128.12 E
11.9.25 12:59	2.6	35.58 N	125.9 E
11.9.21 23:59	2.6	35.91 N	125.21 E
11.9.8 1:56	3.2	38.82 N	126.0 E
11.8.31 19:39	2.6	35.7 N	129.75 E
11.8.20 13:22	2.2	38.46 N	127.83 E
11.8.20 6:57	3	37.5 N	124.46 E
11.8.15 6:10	3.2	38.47 N	125.63 E
11.8.9 12:11	2.5	35.66 N	129.76 E
11.7.28 11:28	2.2	35.9 N	129.7 E
11.7.27 14:38	2.8	36.55 N	129.56 E
11.7.19 14:54	2.4	37.89 N	124.67 E
11.7.13 4:05	2.1	35.91 N	128.39 E
11.7.5 2:13	2.3	38.58 N	126.36 E
11.6.27 14:11	2.9	35.52 N	126.14 E
11.6.17 16:57	2.4	37.9 N	124.81 E
11.6.17 16:38	4	37.89 N	124.81 E
11.6.16 8:13	2.8	33.62 N	127.27 E
11.6.15 14:21	3.7	33.71 N	127.81 E
11.6.9 15:13	2.6	35.91 N	129.7 E
11.6.8 14:21	3	35.08 N	125.3 E
11.6.5 22:53	2.5	36.05 N	127.53 E
11.6.2 10:50	2.9	36.7 N	127.94 E
11.6.2 8:09	2.9	33.59 N	127.26 E
11.5.29 10:22	3.2	35.58 N	128.75 E
11.5.28 15:41	2.5	35.93 N	129.69 E
11.5.25 18:29	2.3	33.61 N	127.28 E
11.5.11 21:09	2.2	39.33 N	126.22 E
11.4.24 16:37	3.1	37.85 N	125.01 E
11.4.11 23:48	2.8	39.13 N	125.87 E
11.4.11 6:11	3.1	37.72 N	129.07 E
11.4.3 1:47	2.7	35.77 N	128.53 E
11.3.28 13:50	3.2	35.97 N	129.95 E
11.3.24 4:35	2.8	36.34 N	127.83 E
11.3.14 14:47	2.9	34.62 N	126.1 E
11.3.13 3:12	2.3	37.5 N	125.33 E
11.3.12 8:15	2.6	37.0 N	125.27 E
11.3.11 9:57	2.5	38.51 N	127.57 E
11.3.6 11:04	2.9	38.66 N	125.67 E
11.2.27 18:50	3.5	33.65 N	125.9 E
11.2.11 19:21	2.2	37.19 N	129.06 E
11.1.26 22:15	2.7	33.4 N	127.33 E
11.1.21 10:56	2.2	33.7 N	127.38 E
11.1.4 1:22	2	36.41 N	127.15 E
10.12.20 6:56	2.2	36.89 N	125.37 E
10.12.19 9:11	2.6	37.31 N	129.38 E
10.11.28 10:15	2.3	35.18 N	127.02 E
10.11.27 7:51	2.8	35.95 N	129.79 E
10.11.20 0:07	2.7	36.83 N	126.76 E
10.11.7 20:11	2.9	40.28 N	128.2 E
10.10.25 12:36	2.5	34.29 N	127.39 E
10.10.23 23:43	2.4	39.77 N	126.7 E
10.10.22 11:59	2.5	35.85 N	128.18 E
10.10.14 18:06	2.3	37.14 N	129.73 E
10.10.7 2:33	2.8	35.87 N	129.79 E
10.10.4 23:24	2.8	37.67 N	129.7 E
10.9.30 2:07	2.6	33.36 N	127.24 E
10.9.6 19:32	2.8	36.56 N	129.01 E
10.8.28 7:35	3.2	32.9 N	126.27 E
10.8.24 3:59	2.5	38.71 N	125.9 E
10.7.27 18:32	2.1	36.34 N	127.26 E
10.7.6 3:44	2.3	36.47 N	127.13 E
10.6.28 12:19	2.1	38.75 N	126.03 E
10.6.26 4:59	2.7	32.35 N	125.88 E
10.6.22 22:21	2.6	38.46 N	125.64 E
10.6.11 13:02	2.1	38.78 N	126.07 E
10.5.26 15:22	2.4	37.6 N	129.68 E
10.5.15 14:44	2.2	36.0 N	127.84 E
10.4.28 14:42	2.1	36.55 N	128.71 E
10.4.27 19:29	2.3	36.8 N	128.75 E
10.4.16 19:56	2.3	38.72 N	125.97 E
10.4.13 2:14	2.5	34.02 N	125.44 E
10.4.12 1:18	2.2	34.12 N	125.66 E
10.4.4 12:49	2.3	38.51 N	126.06 E
10.3.9 12:50	3.2	36.42 N	125.75 E
10.3.1 21:58	2.2	38.41 N	125.62 E
10.2.22 23:29	3	33.29 N	127.17 E
10.2.21 21:17	2.3	36.75 N	127.1 E
10.2.16 18:53	3.2	35.65 N	130.1 E
10.2.9 18:08	3	37.45 N	126.8 E
10.2.3 20:57	2.6	33.33 N	127.19 E
10.2.1 6:42	2.4	33.34 N	127.18 E
10.2.1 5:00	2.3	33.3 N	127.14 E
10.1.23 17:54	2.1	36.59 N	128.17 E
