"","movie_nm","score","reg_date","contents"
"1","핫 로드","0.0","2015.07.09","일본의 폭주족 양아치들이 가오만 잡고 연애하는 얘기 절대 비추 "
"2","암살","10.0","2015.07.09","암살 너무 기대되네요 "
"3","귀향","10.0","2015.07.09","육아로 영화관은 가볼수 없으니 큰 응원을 드릴수 없으나 DVD 나오면 바로 구매해서 보고싶내요 "
"4","성실한 나라의 앨리스","10.0","2015.07.09","빨리 보고싶어요 "
"5","귀향","10.0","2015.07.09","응원하겠습니다 "
"6","협녀, 칼의 기억","0.0","2015.07.09","된장 구분법여자가 산타영화 보자고하면 숨도 쉬지말고 차버려라시간만 아까운 된장이다 "
"7","종이 달","10.0","2015.07.09","가쿠다 미츠요의 책으로 정말 몰입해서 읽었던만큼 기대가 되네요왜 제목이 종이달인지를 알고나서야 심히 공감이 갔던 기억이 납니다영화도 잘 만들어졌길 기대해봅니다 "
"8","아마조니아","10.0","2015.07.09","애들이랑 같이 보면 참 좋겠네요 기대하겠습니다 ㅎㅎ "
"9","귀향","10.0","2015.07.09","좋은말로 할때 배급사와 상영관을 이 영화 개봉해라 월 일 날로 "
"10","폴라로이드","0.0","2015.07.09","월 일 시사회에 다녀왔습니다 그냥 아이들이 연기를 귀엽게 했다는 거 그 거 단 하나 년대 영화를 보는 느낌 이였어영 ㅠㅠ 진짜 깜놀 ㅠㅠ 제 평점은 "
"11","협녀, 칼의 기억","0.0","2015.07.09","전도연 김고은 이경영 김태우 등 좋은 배우들이 아깝다이산타 같은 넘이랑 찍어서 영화가 도매금으로 넘어가는구나 "
"12","암살","0.0","2015.07.09","사극이나 시대물은 모 아니면 도 캐스팅은 화려하다만 이야기 전개의 한계가 있기에 그다지 기대되지는 않는구나 "
"13","나이트라이트","0.0","2015.07.09","아직도 이런 쓰레기 페이크다큐물이 나오나 ㅉㅉ "
"14","암살","6.0","2015.07.09","사골전지현 이제 지겹다 엽기적이거나 센역할을 하정우처럼 질리지않게 잘하던가 깊이있는 감성연기가 없고 기본만유지하니 모든배역이 캐릭터는 사라지고 엽기적인 전지현이된다 요즘은 작품선택이좋아 잘묻어간다 태권도단인 수지가했으면 더대박났을듯함 "
"15","도리화가","10.0","2015.07.09","김남길 나온닷우훗 흥선대원군캐스팅탁월한 선택인듯 "
"16","무민 더 무비","10.0","2015.07.09","무민이 영화로 나오다니감격스럽다 원작자 탄생 주년 및 캐릭터 탄생 주년 기념작품이면 믿고 볼 수 있겠다 빨리 나와랑 "
"17","터미네이터 2","10.0","2015.07.09","별개가 아깝지 않은 지금봐도 전혀 꿀리지 않는 퀄리티레퍼렌스의 끝판왕 "
"18","극비수사","8.0","2015.07.08","역시 배우의 힘 "
"19","연평해전","1.0","2015.07.08","군홍보영화같은것뭘로보나썅남북한이렇게만든게북이나남이나위정자들의사리사욕인것을뭣같은놈들 "
"20","조작된 도시(가제)","10.0","2015.07.08","지창욱배우님기대합니다 "
"21","암살","1.0","2015.07.08","솔직하게 기대가 안되네요 뉴페이스도 없이 배우들도 하나 같이 뻔하고 스토리도 평범해 보여서 영화의 긴장감이 떨어져 보임 부디 완성도 있는 작품이 되기를 입소문 들어봐야 알겠지만 예고만 봐서는 영화관 가서 돈주고 보고 싶지는 않네요 "
"22","연평해전","8.0","2015.07.08","굿 "
"23","우먼 인 골드","10.0","2015.07.08","마리아에게서 일본과 힘든 싸움을 하고있는 위안부 할머니들의 모습을 보았습니다 마리아가 오스트리아 정부를 상대로 승리를 거둔것처럼 우리 할머니들도 꼭 승리하시길 기도합니다 "
"24","픽셀","10.0","2015.07.08","픽맨 영화 재밌겠다 ㅋㅋㅋㅋ "
"25","쓰리 썸머 나잇","10.0","2015.07.08","김동욱오빠팬이에요♡쓰리썸머나잇꼭봐야지 "
"26","조작된 도시(가제)","10.0","2015.07.08","지창욱심은경 묘한매력과 내제된 연기력이 기대되는 조합이다보여지는것 이상 임팩트 있을꺼라 기대해본다 "
"27","조작된 도시(가제)","10.0","2015.07.08","지창욱배우님 차기작 기다리고있었는데 기쁩니다너무 기대되구요♡조작된도시 대박나라 "
"28","뷰티 인사이드","0.0","2015.07.08","김대명씨 안타깝소 왜 하필 이 영화를 "
"29","퇴마 : 무녀굴","10.0","2015.07.08","보지 않아도 알수도있다 고로 나도 알수도있다 이게다 술쟁 "
"30","퇴마 : 무녀굴","5.0","2015.07.08","보지 않고선 모른다고로 나도 모른다이게다 간때문이화 "
"31","인사이드 아웃","10.0","2015.07.08","재밌겠 다내일 드디어 개봉 "
"32","쥬라기헌터","10.0","2015.07.08","어디서 나타난 공룡이냐 "
"33","손님","5.0","2015.07.08","쥐공포증 있는데 보다가 고함빽빽지르고 오는건 아니겠죠ㅠㅠ 온몸에 소롬돋는데ㅠㅠ쥐왜나옴ㅠㅠ보고싶다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ "
"34","미션 임파서블: 로그네이션","10.0","2015.07.08","우와 톰이네 ㅋㅋㅋ 아니지 이제 톰 할배잖아 ㅋㅋㅋㅋ "
"35","연평해전","10.0","2015.07.08","오늘보고 왔는데여운이 계속남는 영화였습니다많이 울었네요연평해전 화이팅 "
"36","손님","7.0","2015.07.08","설마 마을 사람 이미 학살당해 죽어있었다 그런건 아니겠죠 "
"37","슬로우 웨스트","10.0","2015.07.08","년 선댄스영화제 심사위원 대상을 괜히 받은게 아니다죽인다 "
"38","암살","0.0","2015.07.08","화교 왕지현 미국시민권자 이정재 두명의 검은 머리 외국인들이 주연을 맡은 무늬만 애국인 척 하는 영화 "
"39","사우스포","10.0","2015.07.08","기대기대 "
"40","우먼 인 골드","10.0","2015.07.08","이런게 정말 웰메이드영화 강제추천합니다 "
"41","암살","10.0","2015.07.08","전지현때문에 볼거에요 인 역 색다른 연기변신암살단 대장이라니너무기대되요 "
"42","스티브 잡스","10.0","2015.07.08","발전이 필요한 세상을 위해선 봐둘 만한 영화이겠지 단 감독이나 배우들이나 얼마나 잡스를 이해하였는 것인가가 중요한 것이고 "
"43","귀향","10.0","2015.07.08","소녀였던 할머니들은 하나둘씩 사라져가고국내 재벌들과 거대 배급사들은 네티즌 점 기대평점의 이 영화에 침묵하고 있다 "
"44","인사이드 아웃","10.0","2015.07.08","드디어 내일 개봉ㅋㅋㅋㅋ이미 볼라고 예매해놨는데 기대되네요 "
"45","인사이드 아웃","10.0","2015.07.08","시사회로 봤는데 진짜 대박임ㅠㅠㅠ내 평생 가장 재밌는 영화로 기억될드슈ㅠㅠ "
"46","인사이드 아웃","10.0","2015.07.08"," 믿고보는 픽사ㅋㅋㅋ게다가 감독까지 피트닥터ㅋㅋㅋㅋㅋㅋ와 이걸 굳이 말해야하나 "
"47","손님","5.0","2015.07.08","별 "
"48","픽셀","10.0","2015.07.08","나도 아케이드게임 잘 할 자신 있는데ㅋ기대되네요 "
"49","조작된 도시(가제)","10.0","2015.07.08","한류스타로 거듭난 지창욱씨 조작된도시 영화 엄청 기대됩니다 "
"50","스피드","10.0","2015.07.08","백성현씨가 나온다니 꼭 보러가야죵 "
"51","암살","9.0","2015.07.08","독립군 전지현 너무 기대된다ㅏㅏㅏ "
"52","조작된 도시(가제)","10.0","2015.07.08","지창욱배우♡♡힐러이후에 언제쯤이면지창욱배우를볼까 기대하고 있었는데 영화로 나온다니 기대만발이네요언제나 지창욱배우님 화이팅하세요 "
"53","인사이드 아웃","10.0","2015.07.08","이건 꼭 봐야겠다 "
"54","오월","10.0","2015.07.08","기대되네요 "
"55","암살","7.0","2015.07.08","다 좋은데왜 전지현을 캐스팅 했을까요 진심 이해한돼요 "
"56","손님","6.0","2015.07.08","오늘 보러감 "
"57","조작된 도시(가제)","10.0","2015.07.08","너무 기대중이예요 꼭 볼거예요 "
"58","손님","10.0","2015.07.08","완전재밌었음 이준이생각보다분량이적었지만 역시존재감이대단 ㅋㅋ "
"59","조작된 도시(가제)","10.0","2015.07.08","너무 기대되고 긴장되고 설레는데 내년까지 어떻게 기다리나용ㅜㅜ무쪼록 아무 탈 없이 무사히 즐겁게 촬영하시길 바랍니다지배우 화이팅 "
"60","GREEN LIGHT","10.0","2015.07.08","ㅋ "
"61","손님","6.0","2015.07.08","보기 전이지만 예고편 느낌은 이끼같은 느낌 "
"62","조작된 도시(가제)","10.0","2015.07.08","내년 상영이라는데 정말 기대되네 "
"63","조작된 도시(가제)","10.0","2015.07.08","항상 열심히 최선을 다하는 모습을보여주는 지창욱 배우♡♡♡언제나 응원합니다 "
"64","암살","10.0","2015.07.08","좋아하는 배우 다 나옴 대박나길 "
"65","암살","1.0","2015.07.07","영화 나오지도 않았는데 마케팅 대다나다 "
"66","귀향","10.0","2015.07.07","예고편을보는데 계속눈물이나는 이유는뭘까요어느분말대로 한번봐서안돼면 두번세번이고 볼테니꼭 상영해주세요ㅡ돈많은사람들은 뭐하나몰라여기다투자하세요몇십억씩 기부도한다면서 뜻이있는곳에길이있다고누가도와주세요 "
"67","귀향","10.0","2015.07.07","역사는 우리가 살아가는 한 끝 없는 대화이다어찌 잊지랴 그 날의 원수들을 "
"68","조작된 도시(가제)","10.0","2015.07.07","기대기대완전기대돼요지창욱 배우의 연기를 빨리보고싶어요 "
"69","손님","10.0","2015.07.07","류승룡도 연기짱 이성민도 짱짱이준도 짱짱짱 "
"70","조작된 도시(가제)","10.0","2015.07.07","지창욱 배우 힐러 이후 새 드라마 기대하고 있었는데 영화한다는 소식에 응원하러 왔습니다영화에서도 좋은 연기와 액션 보여주길 바랍니다 "
"71","인사이드 아웃","10.0","2015.07.07","믿고보는 픽사 어른들을 위한 동화 기대합니다 "
"72","인사이드 아웃","0.0","2015.07.07","sjandbclgo "
"73","암살","10.0","2015.07.07","먼가 느낌 빡 오는뎅 암살 초대박 파이팅 "
"74","암살","1.0","2015.07.07","예고편만 보면 완전 망작 안타깝다 "
"75","치외법권","10.0","2015.07.07","임창정이라 믿고 봅니다 ㅎㅎ "
"76","암살","10.0","2015.07.07","최고 최고 이영화 최고 "
"77","손님","0.0","2015.07.07","안봐서 몰라 "
"78","손님","8.0","2015.07.07","원작은 우리 것이 아니지만 한국배우의 힘을 기대합니다 "
