id gender mar age edu his work pay wage hob
A001 F 1 18 1 1 4 5 42 1    
A002 F 1 19 1 1 5 5 42 3   
A003 F 1 20 3 1 4 5 43 2    
A004 F 1 21 3 2 3 4 45 7   
A005 F 1 22 3 2 4 4 45 3    
A006 F 1 23 3 3 2 3 47 5   
A007 F 1 24 2 3 1 2 49 5    
A008 F 1 25 3 3 2 2 50 2  
A009 F 1 26 4 4 3 3 51 5    
A010 F 1 27 4 4 4 5 52 5   
A011 F 2 24 2 1 5 5 44 2    
A012 F 2 25 2 2 4 5 45 1   
A013 F 2 26 2 2 3 5 46 5    
A014 F 2 27 2 3 5 4 47 6   
A015 F 2 28 3 3 4 4 52 5    
A016 F 2 29 3 4 2 3 54 6   
A017 F 2 30 4 4 2 2 62 2    
A018 F 2 31 4 4 1 2 62 1   
A019 M 2 32 3 4 3 3 60 3    
A020 M 2 33 3 4 4 5 61 1   
A021 M 1 24 4 1 5 5 47 1    
A022 M 1 25 3 1 4 5 49 2   
A023 M 1 26 3 1 5 5 51 3    
A024 M 1 27 3 2 4 4 53 6   
A025 M 1 28 2 2 3 4 55 8    
A026 M 1 29 2 2 3 3 57 1   
A027 M 1 30 4 2 2 2 57 3    
A028 M 1 31 4 2 1 2 57 1   
A029 M 1 32 1 3 3 3 64 2    
A030 M 1 33 3 3 5 5 63 3   
A031 M 2 24 2 2 4 5 43 2    
A032 M 2 27 2 2 3 5 47 4   
A033 M 2 30 2 3 5 5 48 5    
A034 M 2 33 2 3 4 4 52 1   
A035 M 2 36 2 4 4 4 56 1    
A036 M 2 39 1 4 3 3 66 6   
A037 M 2 42 1 4 1 2 67 2    
A038 M 2 45 1 4 1 2 70 3   
A039 M 2 48 3 4 3 3 68 4    
A040 M 2 51 2 4 2 3 64 5 
