gender|mar|age|edu|his|work|pay|wage|hob
M|1|18|2|1|4|5|42|1
F|1|19|2|1|5|5|42|3
F|1|20|3|1|4|5|43|2
F|1|21|3|2|3|4|45|7
F|1|22|3|2|4|4|45|3
F|1|23|3|3|2|3|47|5
F|1|24|3|3|1|2|49|5
F|1|25|4|3|2|2|50|1
F|1|26|5|4|3|3|51|5
F|1|27|5|4|4|5|52|5
F|2|24|3|1|5|5|44|2
F|2|25|3|2|4|5|45|1
F|2|26|3|2|3|5|46|5
F|2|27|3|3|5|4|47|6
F|2|28|4|3|4|4|52|6
F|2|29|4|4|2|3|54|6
F|2|30|5|4|2|2|62|1
F|2|31|5|4|1|2|62|1
M|2|32|4|4|3|3|60|3
F|2|33|4|4|4|5|61|1
M|1|24|5|1|5|5|47|1
M|1|25|3|1|4|5|49|2
M|1|26|3|1|5|5|51|3
M|1|27|3|2|4|4|53|4
M|1|28|3|2|3|4|55|8
M|1|29|3|2|3|3|57|1
M|1|30|5|2|2|2|57|3
M|1|31|5|2|1|2|57|1
M|1|32|5|3|3|3|64|2
M|1|33|4|3|5|5|63|3
M|2|24|3|2|4|5|43|2
M|2|27|3|2|3|5|47|4
M|2|30|3|3|5|5|48|5
M|2|33|3|3|4|4|52|1
M|2|36|3|4|4|4|56|4
M|2|39|5|4|3|3|71|4
M|2|42|5|4|1|2|78|2
M|2|45|5|4|1|2|82|3
M|2|48|4|4|3|3|79|4
M|2|51|3|4|2|3|93|5
